"id","Y","AlsK","AlsI","AlsE","AlsA","AlsB","AlsC","AlsGa","AlsGb","AlsGc","AlsG2a","AlsG2b","AlsG2c","AlsT","AlsR","AlsR2","AlsR3"
"216816.282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1266716.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"565042.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1035817.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1457186.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"759350.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1457184.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1457185.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"537937.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1161743.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"565040.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206672.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1161904.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"722911.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1300227.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.359","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
